Date,High,Low,Open,Close,Volume,Adj Close,RSI-1,RSI-2,RSI-3,RSI-4,RSI-5,RSI-6,RSI-7,RSI-8,RSI-9,RSI-10,RSI-11,RSI-12,RSI-13,RSI-14,RSI-15,RSI-16,RSI-17,RSI-18,RSI-19,RSI-20,SMA-50,SMA-200
2005-07-08,65.23999786376953,64.51000213623047,65.06999969482422,65.06999969482422,3715300.0,45.95085144042969,0.0,58.16426435921118,59.36734051786601,59.44641191873501,58.933768955716076,58.29855323280875,57.71876021969984,57.24270205560402,56.87081226890266,56.58856969754235,56.378857168619696,56.22617551264506,56.117724165286994,56.04334566449982,55.995122052235054,55.96692246818048,55.95400375857127,55.95268811579807,55.96011336990393,55.97404322152329,62.575000228881834,55.91745002746582
2005-07-11,65.48999786376953,64.77999877929688,65.25,64.97000122070312,2037100.0,45.88022994995117,0.0,49.699819273981824,55.99513804237021,57.438667285571206,57.51484264756327,57.19821701395817,56.81510993973783,56.47157255201004,56.194754990782506,55.98402910137503,55.83014078971737,55.72233931318835,55.65084388551579,55.60750102824759,55.585771233596745,55.58050139846775,55.58766062858955,55.604102198484235,55.62736813326795,55.655535391502404,62.700000228881834,55.977300033569335
2005-07-12,64.97000122070312,64.1500015258789,64.95999908447266,64.30000305175781,2920800.0,45.40708923339844,0.0,16.846937902339292,35.645930346370804,44.12526316360224,47.86345193263312,49.66200106043121,50.62020908182171,51.19108836282045,51.57356348312494,51.85960170428848,52.09344564593835,52.29705326420143,52.48160526411615,52.65292557753041,52.81411756874125,52.96687969724664,53.112176402002454,53.250586478345745,53.38248673740306,53.50814993640779,62.79560028076172,56.033100051879885
2005-07-13,64.88999938964844,64.19999694824219,64.30000305175781,64.58000183105469,3112700.0,45.604827880859375,100.0,46.439202813635205,47.586255497948166,50.51625912501464,52.06540821687396,52.7819174733799,53.11281695333546,53.27770424337441,53.37617095465176,53.451960457187944,53.52342021095674,53.597463296106326,53.675962428450546,53.75868111868507,53.844606959594444,53.932543053325155,54.021355392805845,54.110062651124764,54.19785595967338,54.28408956449531,62.89960029602051,56.09345006942749
2005-07-14,65.2300033569336,64.37000274658203,64.94999694824219,64.58000183105469,2257000.0,45.604827880859375,,46.439202813635205,47.586255497948166,50.51625912501464,52.06540821687396,52.7819174733799,53.11281695333546,53.27770424337441,53.376170954651776,53.451960457187944,53.52342021095674,53.597463296106326,53.675962428450546,53.75868111868507,53.844606959594444,53.932543053325155,54.021355392805845,54.11006265112477,54.19785595967339,54.28408956449531,62.99380035400391,56.15475008010864
2005-07-15,64.87999725341797,64.2300033569336,64.58000183105469,64.75,2023300.0,45.72487258911133,100.0,71.26978592505813,58.184774914656174,55.95407352896014,55.47003667947549,55.20902027334442,54.990368452770234,54.80971039375059,54.67266924929457,54.57811876363615,54.52070810497844,54.4937994369364,54.49100818511978,54.50679884444833,54.53660970097114,54.57677971085517,54.624411295658035,54.6772276411498,54.73344654882131,54.79167645997044,63.08320037841797,56.223450088500975
2005-07-18,64.86000061035156,64.25,64.75,64.73999786376953,1902500.0,45.717811584472656,0.0,67.58293601072702,57.16461771981096,55.47582582782341,55.18178293629431,55.00938083061613,54.839628791658825,54.68912968963611,54.57222231274514,54.49193285293168,54.44509686363329,54.42631941212006,54.42996681359569,54.45098028289651,54.48511352660505,54.52892162233274,54.57965957983395,54.63516115040208,54.69372608984479,54.754024811699814,63.18320030212402,56.2890500831604
2005-07-19,65.5,64.62999725341797,65.0,64.88999938964844,2226400.0,45.823734283447266,100.0,87.29545326698255,69.28072020842805,61.97466614135421,59.16022274472262,57.758299311867304,56.90644985938078,56.33555893548013,55.938018439389694,55.65870613757024,55.46399721617265,55.33126664139572,55.24450384536678,55.19206941644347,55.165360545015794,55.15794185454891,55.164951349767996,55.18268386206925,55.20829443823826,55.23958471660758,63.26080032348633,56.35110008239746
2005-07-20,66.27999877929688,64.62999725341797,64.88999938964844,66.08000183105469,2610000.0,46.66408157348633,100.0,98.80689381892542,92.96384650392045,85.05259242207072,78.2799390562072,73.29289888750469,69.72893164017472,67.15592259993477,65.25984189267936,63.8325393255966,62.73707718214817,61.88187219070129,61.20427570072215,60.660438112024366,60.219000242245635,59.85708975483814,59.55772407869379,59.30808905453264,59.098374681345376,58.92097266883246,63.3712003326416,56.41990009307861
2005-07-21,66.30999755859375,65.69000244140625,66.18000030517578,65.70999908447266,4864100.0,46.40279769897461,0.0,63.19787187890429,68.37768420519076,67.95481017570516,66.22917618054296,64.44954749170485,62.935921010062266,61.720970269924564,60.76321154823597,60.01079710404406,59.41830698794297,58.94959968810904,58.57686140368836,58.27890795263611,58.039608084691494,57.84662071671735,57.69043758237432,57.56367351818277,57.46054443110063,57.37648339513152,63.46460029602051,56.49100008010864
